Kód obce,Obec,Voliči,Vydané lístky,Platné hlasy,Občanská demokratická strana,Řád národa - Vlastenecká unie,CESTA ODPOVĚDNÉ SPOLEČNOSTI,Česká str.sociálně demokrat.,STAROSTOVÉ A NEZÁVISLÍ,Komunistická str.Čech a Moravy,Strana zelených,"ROZUMNÍ-stop migraci,diktát.EU",Strana svobodných občanů,Blok proti islam.-Obran.domova,Občanská demokratická aliance,Česká pirátská strana,Referendum o Evropské unii,TOP 09,ANO 2011,Dobrá volba 2016,SPR-Republ.str.Čsl. M.Sládka,Křesť.demokr.unie-Čs.str.lid.,Česká strana národně sociální,REALISTÉ,SPORTOVCI,Dělnic.str.sociální spravedl.,Svob.a př.dem.-T.Okamura (SPD),Strana Práv Občanů
562343,Arnoltice,333,233,232,33,0,0,20,10,14,1,3,2,1,0,30,0,6,92,1,1,2,0,0,0,0,15,1
562351,Benešov nad Ploučnicí,2 993,1 625,1 618,121,6,3,100,99,173,20,17,16,15,3,132,1,37,577,5,9,17,0,5,5,13,235,9
544647,Bynovec,256,163,162,13,0,0,10,3,16,3,1,5,1,0,21,0,10,47,0,0,1,0,0,0,2,28,1
562394,Česká Kamenice,4 225,2 332,2 321,204,3,1,168,144,235,22,19,20,3,3,189,4,74,846,2,10,40,2,18,3,5,296,10
562335,Děčín,39 425,20 914,20 773,1 798,41,19,1 439,792,1 568,274,166,333,21,59,1 851,11,840,8 020,15,95,447,8,143,17,61,2 667,88
562408,Dobkovice,528,307,303,16,0,0,23,17,26,4,6,4,0,1,9,0,5,133,0,2,4,0,1,1,1,49,1
545783,Dobrná,372,213,213,11,0,0,8,3,22,0,5,4,0,2,13,0,8,101,0,4,7,1,1,0,1,22,0
545856,Dolní Habartice,451,280,279,14,0,0,15,13,37,1,2,3,0,1,26,0,9,110,0,3,2,0,2,1,0,39,1
562432,Dolní Podluží,949,516,514,45,0,1,23,26,52,3,6,8,2,0,38,1,12,188,0,2,19,0,0,1,6,78,3
562441,Dolní Poustevna,1 250,563,557,62,1,2,29,19,52,7,13,6,1,0,46,1,25,180,1,4,11,0,2,1,4,84,6
530417,Doubice,147,118,117,23,0,0,2,12,3,1,1,0,0,0,11,0,21,23,0,0,5,0,0,0,0,15,0
545899,Františkov nad Ploučnicí,334,185,184,6,0,0,9,12,16,5,1,2,0,0,11,0,4,95,0,0,1,0,2,0,2,16,2
562483,Heřmanov,403,223,222,11,0,0,11,4,25,2,2,4,1,0,16,0,7,88,1,3,3,0,2,0,2,39,1
545929,Horní Habartice,335,196,194,14,0,0,22,13,25,4,2,2,0,1,9,0,2,73,0,2,1,0,4,0,1,19,0
562505,Horní Podluží,627,359,356,24,0,0,17,25,34,3,6,5,9,1,34,0,10,127,0,0,5,0,0,0,1,54,1
562513,Hřensko,215,128,128,27,0,0,5,5,7,2,2,3,0,2,11,0,6,33,0,0,1,0,0,0,0,24,0
